Generation,Avg_Scalar_Fitness,Max_Scalar_Fitness,Avg_Defeated_Enemies,Max_Defeated_Enemies,Avg_Gain,Max_Gain,Avg_Life,Max_Life,Avg_Time,Min_Time,Euclidean_Diversity,Std_Dev
0,-11.59285432271648,217.12272868072608,0.08,1,-23.76109097457618,121.5918331020658,3.500500000000002,84.0,19932757455.18752,648475798.9999998,13.314161361262528,0.577850132563395
1,24.045175660444876,218.0146729590418,0.1675,1,-48.2894656359538,121.5918331020658,6.804000000000005,84.0,10925866031.339996,648475798.9999998,13.28710598203425,0.576527052110737
2,70.51052725283292,298.63095298199266,0.3225,1,-75.88215269743222,121.5918331020658,12.923000000000007,100.0,11316836615.029995,648475798.9999998,13.257094372580374,0.574898619685572
3,111.36586663298262,298.63095298199266,0.59,1,-85.17949485196685,121.5918331020658,23.295000000000012,100.0,13653118816.319996,648475798.9999998,13.188907681451125,0.5714389486638757
4,139.09534320061277,298.63095298199266,0.87,1,-78.05487493953416,121.5918331020658,34.71900000000001,100.0,9113005687.447493,540692543.0000007,13.165430672855745,0.5694919073851913
5,151.06298102902292,298.63095298199266,0.8775,1,-78.91014400449954,33.5705646556829,38.39,100.0,6465433590.692508,540692543.0000007,13.128239302011492,0.5673437625775668
0,-11.59285432271648,217.12272868072608,0.08,1,-23.76109097457618,121.5918331020658,3.500500000000002,84.0,19932757455.18752,648475798.9999998,13.314161361262528,0.577850132563395
1,24.045175660444876,218.0146729590418,0.1675,1,-48.2894656359538,121.5918331020658,6.804000000000005,84.0,10925866031.339996,648475798.9999998,13.28710598203425,0.576527052110737
2,70.51052725283292,298.63095298199266,0.3225,1,-75.88215269743222,121.5918331020658,12.923000000000007,100.0,11316836615.029995,648475798.9999998,13.257094372580374,0.574898619685572
3,111.36586663298262,298.63095298199266,0.59,1,-85.17949485196685,121.5918331020658,23.295000000000012,100.0,13653118816.319996,648475798.9999998,13.188907681451125,0.5714389486638757
4,139.09534320061277,298.63095298199266,0.87,1,-78.05487493953416,121.5918331020658,34.71900000000001,100.0,9113005687.447493,540692543.0000007,13.165430672855745,0.5694919073851913
5,151.06298102902292,298.63095298199266,0.8775,1,-78.91014400449954,33.5705646556829,38.39,100.0,6465433590.692508,540692543.0000007,13.128239302011492,0.5673437625775668
6,153.02828427462703,298.63095298199266,0.7625,1,-96.14827220359608,33.5705646556829,33.485,100.0,9669638418.567514,540692543.0000007,13.033089207926675,0.5602307657005363
7,161.90903603317068,298.63095298199266,0.7625,1,-94.77653249649931,33.5705646556829,36.765,100.0,3615451750.7149987,530848078.9999998,12.946920456784476,0.5446093354240376
8,160.22412195407153,298.63095298199266,0.6775,1,-81.8956192348709,33.5705646556829,40.23,100.0,2671541129.6150026,530848078.9999998,12.764697869966751,0.5206569372390659
9,193.31262914580827,298.63095298199266,0.965,1,-56.408012844476296,33.5705646556829,60.085,100.0,3822015544.5500026,530848078.9999998,12.915785118479004,0.5407721627482228
10,189.49590184474567,298.63095298199266,0.9525,1,-60.52340400344374,33.5705646556829,57.245,100.0,3069344761.162497,530848078.9999998,12.696325194383496,0.5417781501763108
11,206.58904984073237,298.63095298199266,0.9875,1,-53.863986898171824,33.5705646556829,65.12,100.0,3127920674.5049934,530848078.9999998,11.750464494149615,0.49216669537659147
12,199.15031662700974,307.0645346786365,0.9925,1,-69.52430033198296,33.5705646556829,57.34,100.0,2842763477.584994,503322622.99999964,8.016948608729447,0.3900649693613212
