Generation,Avg_Scalar_Fitness,Max_Scalar_Fitness,Avg_Defeated_Enemies,Max_Defeated_Enemies,Avg_Gain,Max_Gain,Avg_Life,Max_Life,Avg_Time,Min_Time,Euclidean_Diversity,Std_Dev
0,-13.978407202718959,272.17286051665775,0.0775,1,-21.614262471624496,64.58269897966883,3.387000000000003,84.0,16470604235.890013,487964734.999999,13.268683632885443,0.5758782097071569
1,19.86535262139962,272.17286051665775,0.165,1,-43.24455221235289,102.59432258179561,7.079000000000004,84.0,9911697090.7,487964734.999999,13.265337442436874,0.5755922083467931
2,72.74901449951135,272.17286051665775,0.3175,1,-75.31780544153001,106.39319666187043,13.859500000000008,84.0,9979330835.190002,487964734.999999,13.25852816926143,0.5750825627524528
3,116.84589796495531,272.17286051665775,0.59,1,-83.99185234201576,106.39319666187043,25.530500000000007,84.0,11033950923.7675,487964734.999999,13.252905952340486,0.5744209062207103
4,148.59786319968774,355.9322902479202,0.8825,2,-71.96794046671414,38.785790561825806,39.853,137.20000000000033,4016880274.9725013,454290142.9999986,13.223184504723452,0.5723225496872393
5,146.63065665573743,355.9322902479202,0.8925,2,-75.28117052125305,38.785790561825806,38.003,137.20000000000033,3690838394.43,376515215.0000009,13.20505764982011,0.5700325807999623
0,-13.978407202718959,272.17286051665775,0.0775,1,-21.614262471624496,64.58269897966883,3.387000000000003,84.0,16470604235.890013,487964734.999999,13.268683632885443,0.5758782097071569
1,19.86535262139962,272.17286051665775,0.165,1,-43.24455221235289,102.59432258179561,7.079000000000004,84.0,9911697090.7,487964734.999999,13.265337442436874,0.5755922083467931
2,72.74901449951135,272.17286051665775,0.3175,1,-75.31780544153001,106.39319666187043,13.859500000000008,84.0,9979330835.190002,487964734.999999,13.25852816926143,0.5750825627524528
3,116.84589796495531,272.17286051665775,0.59,1,-83.99185234201576,106.39319666187043,25.530500000000007,84.0,11033950923.7675,487964734.999999,13.252905952340486,0.5744209062207103
4,148.59786319968774,355.9322902479202,0.8825,2,-71.96794046671414,38.785790561825806,39.853,137.20000000000033,4016880274.9725013,454290142.9999986,13.223184504723452,0.5723225496872393
5,146.63065665573743,355.9322902479202,0.8925,2,-75.28117052125305,38.785790561825806,38.003,137.20000000000033,3690838394.43,376515215.0000009,13.20505764982011,0.5700325807999623
6,162.4693875476608,355.9322902479202,0.8525,2,-80.47480713951605,38.785790561825806,41.758,137.20000000000033,4468638597.085003,376515215.0000009,13.257780739192173,0.565970977269394
7,173.9333960884622,355.9322902479202,0.855,2,-77.01071793860987,38.785790561825806,46.743,137.20000000000033,4382888359.177505,376515215.0000009,13.233411384067363,0.5518341186130269
8,182.1822455349163,355.9322902479202,0.83,2,-84.86307936949507,38.785790561825806,47.003,137.20000000000033,4747901176.0750065,376515215.0000009,13.240577954315457,0.520106550282277
9,210.29811471169344,355.9322902479202,0.8725,2,-54.12894982925904,38.785790561825806,66.566,137.20000000000033,4538259451.802509,376515215.0000009,12.785376209009288,0.4682700394063938
10,197.98090567056343,427.83556948071885,0.9025,2,-42.541884893707326,124.58419457339683,66.046,184.0,3300640213.655007,376515215.0000009,12.88893928509686,0.5069390211061994
